row_id,candidate_id,block_id,x,y,h,p_star,right_endpoint,E_theta,E_theta_sign,Q_R2Q,scale_denominator,R_R2Q_reconstructed,channel,post_P0_flag,finite_zone_flag,near_forbidden_flag,forbidden_flag
rawr2q_00000,cand_00000,1,180530237,179845447,684790,180530237,180530237.0,-3089.9881332697114,negative,1.8193520399038576,299093.72920882725,544156.7863585319,negative_transferred_repaid,False,True,True,True
rawr2q_00001,cand_00001,2,24181,24178,3,24317,24181.0,17.186562246627208,positive,0.1157979799474991,176.64910236341098,20.45560921322198,positive_harmless,False,True,False,False
rawr2q_00002,cand_00002,3,30974597,30910184,64413,30974597,30974597.0,-1027.9446158131832,negative,0.6812241515207513,75508.94313535435,51438.51571961043,negative_transferred_repaid,False,True,False,False
rawr2q_00003,cand_00003,4,59921,59920,1,59921,59921.0,10.0007823069704,positive,0.0921982535693211,121.017211365353,11.157575539714944,positive_harmless,False,True,False,False
rawr2q_00004,cand_00004,5,356077,355293,784,356077,356077.0,-4.315460261267276,negative,0.1566810093663226,4575.2725385852,716.8583194715462,negative_transferred_repaid,False,True,False,False
rawr2q_00005,cand_00005,6,3448507,3446024,2483,3448507,3448507.0,-285.247239607314,negative,0.1786966438467436,11291.73196460307,2017.7946052915654,negative_transferred_repaid,False,True,False,False
rawr2q_00006,cand_00006,7,30774449,30670319,104130,30774449,30774449.0,-928.3530182520336,negative,0.862526348366495,95934.11101151556,82745.69845454847,negative_transferred_repaid,False,True,True,False
rawr2q_00007,cand_00007,8,3452747,3451296,1451,3452747,3452747.0,-246.6432758578178,negative,0.1383470038914393,8633.299435299174,1194.3911105712955,negative_transferred_repaid,False,True,False,False
rawr2q_00008,cand_00008,9,12883477,12871995,11482,12883477,12883477.0,-480.68150179983786,negative,0.3212949859833325,28719.930995492716,9227.569826639108,negative_transferred_repaid,False,True,False,False
rawr2q_00009,cand_00009,10,178298621,178254856,43765,178298621,178298621.0,-1758.548029879923,negative,0.4625799992422776,75513.32548295001,34930.95404468488,negative_transferred_repaid,False,True,False,False
rawr2q_00010,cand_00010,11,211,210,1,211,211.0,4.351858133476067,positive,0.1912764152417241,28.642385480853928,5.478612818749345,positive_harmless,False,True,False,False
