row_id,candidate_id,block_id,x,y,h,p_star,E_theta,E_theta_sign,E_theta_normalized,Q_R2Q,scale_used,R_R2Q_rec,delta_D_raw,delta_D_available,Q_delta_D_prim,Q_delta_D_ep_col,Q_delta_D_best,bridge_exc_raw,Q_exc_prim,Q_exc_best,Q_R2Q_formula,formula_residual,formula_residual_abs,formula_residual_frac,route_A_alpha,neg_E_theta_norm,sign_consistent,neg_transfer_antecedent,neg_transfer_consequent,neg_transfer_prim_pass,neg_transfer_prim_violation,pos_harm_antecedent,pos_harm_consequent,pos_harm_prim_pass,pos_harm_prim_violation,primitive_full_available,primitive_partial_available,channel,near_forbidden_flag,forbidden_flag,post_P0_flag,finite_zone_flag,primitive_full_available_bool,primitive_partial_available_bool,primitive_missing_bool,positive_bool,negative_bool,superthreshold_bool,forbidden_bool,positive_cap_bool,missing_structural_positive_cap_bool,primitive_negative_transfer_pass_bool,primitive_positive_harmless_pass_bool,formula_residual_pass_bool,dangerous_requires_primitive_pass_bool,operational_greenlight_pass_bool,primitive_proof_grade_pass_bool,greenlight_class
rawr2q_00000,cand_00000,1,180530237,179845447,684790,180530237,-3089.9881332697114,negative,-0.010331169902637,1.8193520399038576,299093.72920882725,544156.7863585319,-541095.7142812033,True,1.8091175489119344,1.8091175489119344,1.8091175489119344,667.0135370697717,0.0022301154184481,0.0022301154184481,1.8113476643303823,0.0080043755734753,0.0080043755734753,0.0043995749024462,176.10319615781995,0.010331169902637,1.0,True,True,1.0,False,False,False,1.0,False,True,True,negative_transferred_repaid,True,True,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True,True,True,primitive_negative_transfer_verified
rawr2q_00001,cand_00001,2,24181,24178,3,24317,17.186562246627208,positive,0.0972921006486078,0.1157979799474991,176.64910236341098,20.45560921322198,,False,,,,,,,,,,,,-0.0972921006486078,,False,False,,False,True,False,,True,False,False,positive_harmless,False,False,False,True,False,False,True,True,False,False,False,True,True,True,False,True,True,True,False,structural_positive_cap_missing_primitives
rawr2q_00002,cand_00002,3,30974597,30910184,64413,30974597,-1027.9446158131832,negative,-0.0136135479206817,0.6812241515207513,75508.94313535435,51438.51571961043,-50165.02240775837,True,0.6643586881865706,0.6643586881865706,0.6643586881865706,169.26185381026153,0.0022416133345536,0.0022416133345536,0.6666003015211243,0.014623849999627,0.014623849999627,0.0214670163513449,50.04016260050996,0.0136135479206817,1.0,False,True,1.0,False,False,False,1.0,False,True,True,negative_transferred_repaid,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,primitive_full_verified
rawr2q_00003,cand_00003,4,59921,59920,1,59921,10.0007823069704,positive,0.082639338604307,0.0921982535693211,121.017211365353,11.157575539714944,,False,,,,,,,,,,,,-0.082639338604307,,False,False,,False,True,False,,True,False,False,positive_harmless,False,False,False,True,False,False,True,True,False,False,False,True,True,True,False,True,True,True,False,structural_positive_cap_missing_primitives
rawr2q_00004,cand_00004,5,356077,355293,784,356077,-4.315460261267276,negative,-0.0009432138140128,0.1566810093663226,4575.2725385852,716.8583194715462,-618.4840667387305,True,0.1351797213221275,0.1351797213221275,0.1351797213221275,58.86631372712248,0.0128661873649445,0.0128661873649445,0.148045908687072,0.0086351006792505,0.0086351006792505,0.0551126183969208,166.11398925523508,0.0009432138140128,1.0,False,True,1.0,False,False,True,1.0,False,True,True,negative_transferred_repaid,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,primitive_full_verified
rawr2q_00005,cand_00005,6,3448507,3446024,2483,3448507,-285.247239607314,negative,-0.0252616020732246,0.1786966438467436,11291.73196460307,2017.7946052915647,-1687.5380821821711,True,0.1494490028165924,0.1494490028165924,0.1494490028165924,86.25508396793089,0.0076387824505859,0.0076387824505859,0.1570877852671784,0.0216088585795651,0.0216088585795651,0.1209248148952236,7.073844458825842,0.0252616020732246,1.0,False,True,1.0,False,False,True,1.0,False,True,True,negative_transferred_repaid,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,primitive_full_verified
rawr2q_00006,cand_00006,7,30774449,30670319,104130,30774449,-928.3530182520336,negative,-0.0096769856776032,0.862526348366495,95934.11101151556,82745.69845454847,-81816.70719328354,True,0.8528427097579773,0.8528427097579773,0.8528427097579773,363.3590972929378,0.0037875901851982,0.0037875901851982,0.8566302999431755,0.0058960484233194,0.0058960484233194,0.006835789346593,89.1317169521867,0.0096769856776032,1.0,True,True,1.0,False,False,False,1.0,False,True,True,negative_transferred_repaid,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,True,True,True,True,primitive_negative_transfer_verified
rawr2q_00007,cand_00007,8,3452747,3451296,1451,3452747,-246.6432758578178,negative,-0.0285688313843675,0.1383470038914393,8633.299435299174,1194.3911105712957,-906.2861454643348,True,0.1049756413821095,0.1049756413821095,0.1049756413821095,65.98354433162308,0.0076429115920426,0.0076429115920426,0.1126185529741521,0.0257284509172871,0.0257284509172871,0.1859704235985929,4.842585334699434,0.0285688313843675,1.0,False,True,1.0,False,False,True,1.0,False,True,True,negative_transferred_repaid,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,primitive_full_verified
rawr2q_00008,cand_00008,9,12883477,12871995,11482,12883477,-480.68150179983786,negative,-0.0167368613063616,0.3212949859833325,28719.93099549272,9227.569826639108,-8643.103225239702,True,0.3009444286825112,0.3009444286825112,0.3009444286825112,112.55777793578729,0.0039191521021917,0.0039191521021917,0.3048635807847029,0.0164314051986295,0.0164314051986295,0.0511411815168567,19.196848208403896,0.0167368613063616,1.0,False,True,1.0,False,False,False,1.0,False,True,True,negative_transferred_repaid,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,primitive_full_verified
rawr2q_00009,cand_00009,10,178298621,178254856,43765,178298621,-1758.548029879923,negative,-0.0232879166509092,0.4625799992422776,75513.32548295001,34930.95404468488,-33018.34702990349,True,0.437251926315424,0.437251926315424,0.437251926315424,189.86549926782936,0.0025143310542018,0.0025143310542018,0.4397662573696258,0.0228137418726517,0.0228137418726517,0.049318478771286,19.863520046745627,0.0232879166509092,1.0,False,True,1.0,False,False,False,1.0,False,True,True,negative_transferred_repaid,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,primitive_full_verified
rawr2q_00010,cand_00010,11,211,210,1,211,4.351858133476067,positive,0.1519376986384418,0.1912764152417241,28.642385480853928,5.478612818749345,,False,,,,,,,,,,,,-0.1519376986384418,,False,False,,False,True,False,,True,False,False,positive_harmless,False,False,False,True,False,False,True,True,False,False,False,True,True,True,False,True,True,True,False,structural_positive_cap_missing_primitives
