candidate_id,block_id,x,y,h,p_star,E_theta,E_theta_sign,Q_R2Q,near_forbidden_flag,forbidden_flag,C_minus_flag,channel_compatible_flag,O2_applicable_flag,B3_applicable_flag,coordinate_available_flag,post_P0_flag,finite_certificate_flag,valid_scale_flag,Q_2p1,Q_2p2,Q_2p3,Q_2p4,Q_2p1_source,Q_2p2_source,Q_2p3_source,Q_2p4_source,component_missing_flags,fallback_used_flag,Q_O2_row_sum,Q_O2_cap_sum,Q_O2_conservative,pass_Q_O2_lt_1,pass_Q_O2_lt_0p25,pass_Q_O2_lt_0p10,pass_Q_O2_lt_0p05,failure_type,status
o2_00000,1,180530237,179845447,684790,180530237,-3089.9881332697114,negative,1.8193520399038576,True,True,True,True,True,True,True,False,True,True,0.009502682738794,7.359533907369944e-06,0.0022301154184481,9.5330264469676e-05,global_cap,row_Q_LAN,row_Q_exc,row_Q_o2p4_total,Q_2p1;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00001,2,24181,24178,3,24317,17.186562246627208,positive,0.1157979799474991,False,False,False,True,True,True,True,False,True,True,0.009502682738794,8.118648230799173e-05,0.0205672364492246,0.0,global_cap,global_cap,global_cap,row_Q_o2p4_total,Q_2p1;Q_2p2;Q_2p3;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00002,3,30974597,30910184,64413,30974597,-1027.9446158131832,negative,0.6812241515207513,False,False,True,True,True,True,True,False,True,True,0.009502682738794,1.7708717670867989e-06,0.0022416133345536,0.0001142102173859,global_cap,row_Q_LAN,row_Q_exc,row_Q_o2p4_total,Q_2p1;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00003,4,59921,59920,1,59921,10.0007823069704,positive,0.0921982535693211,False,False,False,True,True,True,True,False,True,True,0.009502682738794,8.118648230799173e-05,0.0205672364492246,0.0,global_cap,global_cap,global_cap,row_Q_o2p4_total,Q_2p1;Q_2p2;Q_2p3;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00004,5,356077,355293,784,356077,-4.315460261267276,negative,0.1566810093663226,False,False,True,True,True,True,True,False,True,True,0.009502682738794,3.141097334843603e-05,0.0128661873649445,0.0,global_cap,row_Q_LAN,row_Q_exc,row_Q_o2p4_total,Q_2p1;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00005,6,3448507,3446024,2483,3448507,-285.247239607314,negative,0.1786966438467436,False,False,True,True,True,True,True,False,True,True,0.009502682738794,6.013009100042237e-06,0.0076387824505859,0.0,global_cap,row_Q_LAN,row_Q_exc,row_Q_o2p4_total,Q_2p1;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00006,7,30774449,30670319,104130,30774449,-928.3530182520336,negative,0.862526348366495,True,False,True,True,True,True,True,False,True,True,0.009502682738794,6.06245274081094e-06,0.0037875901851982,0.0,global_cap,row_Q_LAN,row_Q_exc,row_Q_o2p4_total,Q_2p1;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00007,8,3452747,3451296,1451,3452747,-246.6432758578178,negative,0.1383470038914393,False,False,True,True,True,True,True,False,True,True,0.009502682738794,8.404223960364349e-07,0.0076429115920426,0.0,global_cap,row_Q_LAN,row_Q_exc,row_Q_o2p4_total,Q_2p1;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00008,9,12883477,12871995,11482,12883477,-480.68150179983786,negative,0.3212949859833325,False,False,True,True,True,True,True,False,True,True,0.009502682738794,1.1338795712939568e-05,0.0039191521021917,0.0,global_cap,row_Q_LAN,row_Q_exc,row_Q_o2p4_total,Q_2p1;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00009,10,178298621,178254856,43765,178298621,-1758.548029879923,negative,0.4625799992422776,False,False,True,True,True,True,True,False,True,True,0.009502682738794,3.6549657363459032e-06,0.0025143310542018,0.0,global_cap,row_Q_LAN,row_Q_exc,row_Q_o2p4_total,Q_2p1;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00010,11,211,210,1,211,4.351858133476067,positive,0.1912764152417241,False,False,False,True,True,True,True,False,True,True,0.009502682738794,8.118648230799173e-05,0.0205672364492246,0.0,global_cap,global_cap,global_cap,row_Q_o2p4_total,Q_2p1;Q_2p2;Q_2p3;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00011,12,3279709,3278912,797,3279709,-166.86828088206357,negative,0.1060058846880691,False,False,True,True,True,True,True,False,True,True,0.009502682738794,1.0206908080493896e-05,0.0114062615417102,0.0,global_cap,row_Q_LAN,row_Q_exc,row_Q_o2p4_total,Q_2p1;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00012,13,42899,42898,1,42899,9.666603794621116,positive,0.0968247715409328,False,False,False,True,True,True,True,False,True,True,0.009502682738794,8.118648230799173e-05,0.0205672364492246,0.0,global_cap,global_cap,global_cap,row_Q_o2p4_total,Q_2p1;Q_2p2;Q_2p3;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00013,14,1195591,1195386,205,1195669,18.90523282037472,positive,0.0899443884131837,False,False,False,True,True,True,True,False,True,True,0.009502682738794,8.118648230799173e-05,0.0127144572989962,0.0,global_cap,row_Q_LAN,row_Q_exc,row_Q_o2p4_total,Q_2p1;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00014,15,43133,43132,1,43133,9.672043644375696,positive,0.0943896668138165,False,False,False,True,True,True,True,False,True,True,0.009502682738794,8.118648230799173e-05,0.0205672364492246,0.0,global_cap,global_cap,global_cap,row_Q_o2p4_total,Q_2p1;Q_2p2;Q_2p3;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00015,16,58309,58308,1,58309,9.973511734352114,positive,0.0939517191622745,False,False,False,True,True,True,True,False,True,True,0.009502682738794,8.118648230799173e-05,0.0205672364492246,0.0,global_cap,global_cap,global_cap,row_Q_o2p4_total,Q_2p1;Q_2p2;Q_2p3;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00016,17,59333,59332,1,59333,9.990920922612805,positive,0.0929815072257821,False,False,False,True,True,True,True,False,True,True,0.009502682738794,8.118648230799173e-05,0.0205672364492246,0.0,global_cap,global_cap,global_cap,row_Q_o2p4_total,Q_2p1;Q_2p2;Q_2p3;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00017,18,3241093,3239129,1964,3241093,-165.06704136906455,negative,0.159654089699117,False,False,True,True,True,True,True,False,True,True,0.009502682738794,2.3334301314073312e-05,0.0081749848918229,0.0,global_cap,row_Q_LAN,row_Q_exc,row_Q_o2p4_total,Q_2p1;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00018,19,1515197,1513853,1344,1515197,-63.24655312102391,negative,0.1510851987794436,False,False,True,True,True,True,True,False,True,True,0.009502682738794,4.776614987102008e-05,0.0103425912084517,0.0,global_cap,row_Q_LAN,row_Q_exc,row_Q_o2p4_total,Q_2p1;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00019,20,58511,58510,1,58511,9.97697004973177,positive,0.0923670994574258,False,False,False,True,True,True,True,False,True,True,0.009502682738794,8.118648230799173e-05,0.0205672364492246,0.0,global_cap,global_cap,global_cap,row_Q_o2p4_total,Q_2p1;Q_2p2;Q_2p3;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00020,21,30847123,30831334,15789,30847123,-424.33160930738086,negative,0.338124053326903,False,False,True,True,True,True,True,False,True,True,0.009502682738794,5.600014978889258e-07,0.0060303868534807,0.0,global_cap,row_Q_LAN,row_Q_exc,row_Q_o2p4_total,Q_2p1;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00021,22,60209,60208,1,60209,10.005577121783782,positive,0.0940510554686493,False,False,False,True,True,True,True,False,True,True,0.009502682738794,8.118648230799173e-05,0.0205672364492246,0.0,global_cap,global_cap,global_cap,row_Q_o2p4_total,Q_2p1;Q_2p2;Q_2p3;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00022,23,354553,354550,3,354619,22.55722059933116,positive,0.0920232096308952,False,False,False,True,True,True,True,False,True,True,0.009502682738794,8.118648230799173e-05,0.0205672364492246,0.0,global_cap,global_cap,global_cap,row_Q_o2p4_total,Q_2p1;Q_2p2;Q_2p3;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00023,24,180619079,180557417,61662,180619079,-1166.673386312199,negative,0.5459231094474968,False,False,True,True,True,True,True,False,True,True,0.009502682738794,1.180746907206342e-05,0.0051149881925594,0.0,global_cap,row_Q_LAN,row_Q_exc,row_Q_o2p4_total,Q_2p1;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00024,25,109813367,109790208,23159,109813367,-719.8064293124298,negative,0.3557665519303423,False,False,True,True,True,True,True,False,True,True,0.009502682738794,1.2382311357449096e-06,0.0045682420338709,0.0,global_cap,row_Q_LAN,row_Q_exc,row_Q_o2p4_total,Q_2p1;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00025,26,230563,230560,3,230647,21.69655017143579,positive,0.0944180902326222,False,False,False,True,True,True,True,False,True,True,0.009502682738794,8.118648230799173e-05,0.0205672364492246,0.0,global_cap,global_cap,global_cap,row_Q_o2p4_total,Q_2p1;Q_2p2;Q_2p3;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00026,27,1192781,1192323,458,1192781,-38.252494546276125,negative,0.0967472985369818,False,False,True,True,True,True,True,False,True,True,0.009502682738794,1.3525862640847052e-05,0.0120403626533005,0.0,global_cap,row_Q_LAN,row_Q_exc,row_Q_o2p4_total,Q_2p1;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00027,28,109670797,109660803,9994,109670797,-700.5003791113922,negative,0.2345732370876761,False,False,True,True,True,True,True,False,True,True,0.009502682738794,7.899281192864654e-06,0.0098010101179576,0.0,global_cap,row_Q_LAN,row_Q_exc,row_Q_o2p4_total,Q_2p1;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00028,29,3456977,3455716,1261,3456977,-56.54292508843059,negative,0.1341559286414388,False,False,True,True,True,True,True,False,True,True,0.009502682738794,6.665203439909114e-07,0.0077614986724626,0.0,global_cap,row_Q_LAN,row_Q_exc,row_Q_o2p4_total,Q_2p1;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
o2_00029,30,4994789,4991760,3029,4994789,-113.94054074237602,negative,0.1879865387221068,False,False,True,True,True,True,True,False,True,True,0.009502682738794,2.0801171870384345e-05,0.0057126820734734,0.0,global_cap,row_Q_LAN,row_Q_exc,row_Q_o2p4_total,Q_2p1;,True,,0.04990595498460639,0.04990595498460639,True,True,True,True,,pass
