candidate_id,block_id,x,y,h,p_star,post_P0_flag,post_P0_by_pstar,finite_zone_flag,finite_certified_flag,threshold_relevant_flag,forbidden_flag,near_forbidden_flag,positive_harmless_flag,negative_transfer_flag,O2_B3_repaid_flag,B3_block_pass,covered_flag,row_regime,Q_R2Q,Q_delta_D,Q_exc,epsilon,E_theta,Q_2p1,Q_2p2,Q_2p3,Q_2p4,Q_O2_row_sum,O2_cap_sum,O2_value,O2_cap_pass_0p05,pass_Q_O2_lt_0p10,pass_Q_O2_lt_0p25,O2_status,O2_failure_type,surviving_first_crossing_proxy,subthreshold_surviving_proxy_flag,explicit_non_surviving_flag,subthreshold_flag,superthreshold_flag,threshold_relevance_pass_flag,threshold_classification,threshold_status,accumulation_proxy,unrepaid_tail,endpoint_repaid_flag,endpoint_harmful_flag,endpoint_repayment_failure_flag,positive_unrepaid_tail_flag,negative_unrepaid_tail_flag,tail_forbidden_unrepaid_flag,B3_status,E_theta_sign,threshold_row_flag,positive_row_flag,negative_subthreshold_flag,harmless_flag,repaid_flag,surviving_flag,non_surviving_flag,unrepaid_flag,surviving_unrepaid_flag,O2_available_flag,O2_margin,O2_balance,O2_balance_negative_flag,O2_cap_failure_flag,O2_repayment_failure_flag,O2_numeric_failure_flag,O2_failure_flag,Q_R2Q_bin
hexc_00002,3,30974597,30910184,64413,30974597,False,False,True,True,False,False,False,False,True,True,True,True,primitive_full_verified,0.6812241515207513,0.6643586881865706,0.0022416133345536,0.014623849999627,-1027.9446158131832,0.009502682738794,1.7708717670867989e-06,0.0022416133345536,0.0001142102173859,,0.0499059549846063,0.0499059549846063,True,True,True,pass,,False,False,True,True,False,True,explicit_non_surviving,pass,0.0,0.0,True,False,False,False,False,False,pass,negative,False,False,True,False,True,False,True,False,False,True,9.404501539370114e-05,9.404501539370114e-05,False,False,False,False,False,"(0.305, 0.75]"
hexc_00004,5,356077,355293,784,356077,False,False,True,True,False,False,False,False,True,True,True,True,primitive_full_verified,0.1566810093663226,0.1351797213221275,0.0128661873649445,0.0086351006792505,-4.315460261267276,0.009502682738794,3.141097334843603e-05,0.0128661873649445,0.0,,0.0499059549846063,0.0499059549846063,True,True,True,pass,,False,False,True,True,False,True,explicit_non_surviving,pass,0.0,0.0,True,False,False,False,False,False,pass,negative,False,False,True,True,True,False,True,False,False,True,9.404501539370114e-05,9.404501539370114e-05,False,False,False,False,False,"(-inf, 0.305]"
hexc_00005,6,3448507,3446024,2483,3448507,False,False,True,True,False,False,False,False,True,True,True,True,primitive_full_verified,0.1786966438467436,0.1494490028165924,0.0076387824505859,0.0216088585795651,-285.247239607314,0.009502682738794,6.013009100042237e-06,0.0076387824505859,0.0,,0.0499059549846063,0.0499059549846063,True,True,True,pass,,False,False,True,True,False,True,explicit_non_surviving,pass,0.0,0.0,True,False,False,False,False,False,pass,negative,False,False,True,True,True,False,True,False,False,True,9.404501539370114e-05,9.404501539370114e-05,False,False,False,False,False,"(-inf, 0.305]"
hexc_00007,8,3452747,3451296,1451,3452747,False,False,True,True,False,False,False,False,True,True,True,True,primitive_full_verified,0.1383470038914393,0.1049756413821095,0.0076429115920426,0.0257284509172871,-246.6432758578178,0.009502682738794,8.404223960364349e-07,0.0076429115920426,0.0,,0.0499059549846063,0.0499059549846063,True,True,True,pass,,False,False,True,True,False,True,explicit_non_surviving,pass,0.0,0.0,True,False,False,False,False,False,pass,negative,False,False,True,True,True,False,True,False,False,True,9.404501539370114e-05,9.404501539370114e-05,False,False,False,False,False,"(-inf, 0.305]"
hexc_00008,9,12883477,12871995,11482,12883477,False,False,True,True,False,False,False,False,True,True,True,True,primitive_full_verified,0.3212949859833325,0.3009444286825112,0.0039191521021917,0.0164314051986295,-480.68150179983786,0.009502682738794,1.1338795712939568e-05,0.0039191521021917,0.0,,0.0499059549846063,0.0499059549846063,True,True,True,pass,,False,False,True,True,False,True,explicit_non_surviving,pass,0.0,0.0,True,False,False,False,False,False,pass,negative,False,False,True,False,True,False,True,False,False,True,9.404501539370114e-05,9.404501539370114e-05,False,False,False,False,False,"(0.305, 0.75]"
hexc_00009,10,178298621,178254856,43765,178298621,False,False,True,True,False,False,False,False,True,True,True,True,primitive_full_verified,0.4625799992422776,0.437251926315424,0.0025143310542018,0.0228137418726517,-1758.548029879923,0.009502682738794,3.6549657363459032e-06,0.0025143310542018,0.0,,0.0499059549846063,0.0499059549846063,True,True,True,pass,,False,False,True,True,False,True,explicit_non_surviving,pass,0.0,0.0,True,False,False,False,False,False,pass,negative,False,False,True,False,True,False,True,False,False,True,9.404501539370114e-05,9.404501539370114e-05,False,False,False,False,False,"(0.305, 0.75]"
hexc_00011,12,3279709,3278912,797,3279709,False,False,True,True,False,False,False,False,True,True,True,True,primitive_full_verified,0.1060058846880691,0.0733688760483797,0.0114062615417102,0.021230747097979,-166.86828088206357,0.009502682738794,1.0206908080493896e-05,0.0114062615417102,0.0,,0.0499059549846063,0.0499059549846063,True,True,True,pass,,False,False,True,True,False,True,explicit_non_surviving,pass,0.0,0.0,True,False,False,False,False,False,pass,negative,False,False,True,True,True,False,True,False,False,True,9.404501539370114e-05,9.404501539370114e-05,False,False,False,False,False,"(-inf, 0.305]"
hexc_00017,18,3241093,3239129,1964,3241093,False,False,True,True,False,False,False,False,True,True,True,True,primitive_full_verified,0.159654089699117,0.1401120285534746,0.0081749848918229,0.0113670762538194,-165.06704136906455,0.009502682738794,2.3334301314073312e-05,0.0081749848918229,0.0,,0.0499059549846063,0.0499059549846063,True,True,True,pass,,False,False,True,True,False,True,explicit_non_surviving,pass,0.0,0.0,True,False,False,False,False,False,pass,negative,False,False,True,True,True,False,True,False,False,True,9.404501539370114e-05,9.404501539370114e-05,False,False,False,False,False,"(-inf, 0.305]"
hexc_00018,19,1515197,1513853,1344,1515197,False,False,True,True,False,False,False,False,True,True,True,True,primitive_full_verified,0.1510851987794436,0.1353288100910507,0.0103425912084517,0.0054137974799411,-63.24655312102391,0.009502682738794,4.776614987102008e-05,0.0103425912084517,0.0,,0.0499059549846063,0.0499059549846063,True,True,True,pass,,False,False,True,True,False,True,explicit_non_surviving,pass,0.0,0.0,True,False,False,False,False,False,pass,negative,False,False,True,True,True,False,True,False,False,True,9.404501539370114e-05,9.404501539370114e-05,False,False,False,False,False,"(-inf, 0.305]"
hexc_00020,21,30847123,30831334,15789,30847123,False,False,True,True,False,False,False,False,True,True,True,True,primitive_full_verified,0.338124053326903,0.3244066291128366,0.0060303868534807,0.0076870373605856,-424.33160930738086,0.009502682738794,5.600014978889258e-07,0.0060303868534807,0.0,,0.0499059549846063,0.0499059549846063,True,True,True,pass,,False,False,True,True,False,True,explicit_non_surviving,pass,0.0,0.0,True,False,False,False,False,False,pass,negative,False,False,True,False,True,False,True,False,False,True,9.404501539370114e-05,9.404501539370114e-05,False,False,False,False,False,"(0.305, 0.75]"
