candidate_id,block_id,x,y,h,p_star,post_P0_flag,sample_count,sample_count_over_h,sample_offsets_min,sample_offsets_max,sample_offset_gaps_max,sample_offset_gaps_mean,sample_offset_gaps_median,endpoint_left_sampled,endpoint_right_sampled,lambda_event_count,prime_event_count,prime_power_event_count,lambda_weight_sum,lambda_weight_max,lambda_weight_sq_sum,event_offsets_min,event_offsets_max,event_gap_max,event_gap_mean,K_prime_sampled,E_prime_sampled,B_prime_sampled_abs_max,B_prime_sampled_RMS,sampled_peak_offset,sampled_peak_position_fraction,nearest_sample_distance_to_event_max,nearest_sample_distance_to_event_mean,nearest_event_distance_to_sample_max,nearest_event_distance_to_sample_mean,event_to_sample_alignment_score,optional_K_prime_full,optional_E_prime_full,optional_B_prime_full_abs_max,optional_full_peak_offset,optional_full_peak_position_fraction,optional_full_to_sampled_energy_ratio,optional_full_to_sampled_absmax_ratio,sampled_target_failure_flag,full_grid_target_failure_flag,samples_on_event_count,samples_after_event_count,samples_between_events_count,samples_in_large_gap_count,K_prime,E_prime,C_prime,lambda_event_count_profile,prime_event_count_profile,prime_power_event_count_profile,lambda_event_weight_sum,lambda_event_weight_max,lambda_event_weight_sq_sum,max_lambda_gap,B_prime_effective_support_frac,Q_exc,Q_R2Q,Q_delta_D,threshold_relevant_flag,forbidden_flag,finite_zone_flag,positive_harmless_flag,negative_transfer_flag,row_status,K_prime_profile_delta
hexc_00000,1,180530237,179845447,684790,180530237,False,41,5.987236963156588e-05,0,684790,218316,17119.75,124.5,True,True,35864,35864,0,681728.5245510371,19.011408839713177,12959053.727783969,34,684790,166,19.093661991467528,4.242257262839463,2905055.3510198356,667.0037518695754,266.18604125960366,14732,0.021513164619810454,109140.0,32461.473650457283,59.0,16.146341463414632,0.0005878487837910868,224364.1899425553,153642353630.76245,1485.8032673450944,117131,0.17104659822719373,52887.9264131148,2.2275785753535393,False,False,1,28,40,12,4.242257262839463,2905055.351019836,2.059674067137677,35864,35861,3,681728.5245510356,19.011408839713177,12959053.727783969,166,0.1592626732746622,0.0022301154184481,1.8193520399038576,1.8091175489119344,True,True,True,False,True,primitive_negative_transfer_verified,0.0
hexc_00001,2,24317,24178,3,24317,False,4,1.3333333333333333,0,3,1,1.0,1.0,True,True,2,2,0,20.186562246627208,10.093322479806597,203.74864767189817,1,3,2,2.0,7.546246211083847,22.638738633251542,3.364468397597527,2.3790091757521417,2,0.6666666666666666,0.0,0.0,1.0,0.5,1.0,7.546246211083847,22.638738633251542,3.364468397597527,2,0.6666666666666666,1.0,1.0,False,False,2,2,2,2,7.546246211083847,22.638738633251545,2.7470431760501777,2,2,0,20.186562246627208,10.093322479806597,203.74864767189817,2,0.499987708018104,0.0184358992034248,0.1157979799474991,0.1106139903704657,False,False,True,True,False,sign_inconsistent_positive_harmless,0.0
hexc_00002,3,30974597,30910184,64413,30974597,False,41,0.0006365174731808796,0,64413,17470,1610.325,30.5,True,True,3676,3676,0,63393.679276996896,17.24867797490251,1093316.616665536,5,64413,112,17.525986394557822,2.1234801731745523,136779.72839469244,169.37992683528864,57.758903525395226,46943,0.7287814571592691,8724.0,2501.263057671382,23.0,5.658536585365853,0.00695810013778153,32054.642903055512,2064735713.3145146,445.6220010511097,39179,0.6082467824817972,15095.3342103188,2.630902075453422,False,False,3,35,38,7,2.1234801731745523,136779.72839469244,1.4572165841681024,3676,3675,1,63393.679276996925,17.24867797490251,1093316.616665536,112,0.1162824031200303,0.0022416133345536,0.6812241515207513,0.6643586881865706,False,False,True,False,True,primitive_full_verified,0.0
hexc_00003,4,59921,59920,1,59921,False,2,2.0,0,1,1,1.0,1.0,True,True,1,1,0,11.0007823069704,11.0007823069704,121.017211365353,1,1,1,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0,0.0,inf,inf,False,False,1,0,1,0,0.0,0.0,0.0,1,1,0,11.0007823069704,11.0007823069704,121.017211365353,1,0.0,2.348567539256741e-16,0.0921982535693211,0.0882306914983774,False,False,True,True,False,sign_inconsistent_positive_harmless,0.0
hexc_00004,5,356077,355293,784,356077,False,37,0.047193877551020405,0,784,136,21.77777777777778,5.5,True,True,61,61,0,779.6845397387327,12.782902278581227,9965.704637272356,4,784,54,13.0,21.642305064791316,16967.567170796392,58.55521070691998,21.414548711285292,648,0.826530612244898,54.0,15.60655737704918,13.0,3.72972972972973,0.45444126074498564,1358.322052897152,1064924.489471367,69.05707488389021,676,0.8622448979591837,62.76235589650438,1.179349780321585,False,False,3,32,34,4,21.64230506479132,16967.567170796392,4.652129089437579,61,61,0,779.6845397387325,12.782902278581227,9965.704637272356,54,0.1337478338104516,0.0128661873649445,0.1566810093663226,0.1351797213221275,False,False,True,False,True,primitive_full_verified,-3.552713678800501e-15
hexc_00005,6,3448507,3446024,2483,3448507,False,40,0.016109544905356425,0,2483,497,63.666666666666664,8.0,True,True,146,146,0,2197.752760392686,15.053451941719482,33082.99449780947,5,2483,64,17.089655172413792,15.607209675756053,38752.70162490228,86.33615572803478,31.125833974731613,1271,0.5118807893677003,248.0,68.97260273972603,21.0,5.2,0.1985731676928633,2279.5987659362568,5660243.735819725,110.27069235722331,1196,0.4816753926701571,146.0606228336474,1.2772249520187589,False,False,4,34,36,12,15.607209675756051,38752.70162490228,3.950596116506477,146,146,0,2197.752760392685,15.053451941719482,33082.99449780947,64,0.1299740282646239,0.0076387824505859,0.1786966438467436,0.1494490028165924,False,False,True,False,True,primitive_full_verified,1.7763568394002505e-15
hexc_00006,7,30774449,30670319,104130,30774449,False,41,0.000393738595985787,0,104130,29276,2603.25,42.5,True,True,5986,5986,0,103201.64698174795,17.242195325731537,1779248.2415295793,30,104130,118,17.393483709273184,5.249368097143086,546616.6999555095,363.4686760886416,115.46477659035767,14369,0.1379909728224335,14628.0,4279.391413297694,30.0,12.902439024390244,0.004048022911593514,27467.107511338865,2860149905.155716,458.8752678362216,69552,0.6679343128781331,5232.459793834529,1.2624891717610145,False,False,2,28,39,13,5.249368097143086,546616.6999555095,2.2911499508201305,5986,5986,0,103201.6469817475,17.242195325731537,1779248.2415295793,118,0.1009171694921223,0.0037875901851982,0.862526348366495,0.8528427097579773,True,False,True,False,True,primitive_negative_transfer_verified,0.0
hexc_00007,8,3452747,3451296,1451,3452747,False,36,0.024810475534114404,0,1451,272,41.457142857142856,8.0,True,True,80,80,0,1204.3567241421822,15.05468070406716,18130.938988465245,1,1451,60,18.354430379746834,14.945796609214836,21686.350879970727,65.70302454859478,24.543810534526667,338,0.23294279807029636,134.0,34.0625,17.0,5.75,0.35016225190551653,1527.8357709255722,2216889.703613005,73.44423305534178,1163,0.8015161957270848,102.22511458396166,1.1178211895104084,False,False,3,34,33,10,14.945796609214836,21686.350879970727,3.865979385513435,80,80,0,1204.3567241421824,15.05468070406716,18130.938988465245,60,0.1395446707027726,0.0076429115920426,0.1383470038914393,0.1049756413821095,False,False,True,False,True,primitive_full_verified,0.0
hexc_00008,9,12883477,12871995,11482,12883477,False,39,0.0033966207977704234,0,11482,2691,302.1578947368421,17.5,True,True,672,672,0,11001.318498200162,16.371456195625765,180102.6915603797,8,11482,78,17.09985096870343,3.459859086542252,39726.102031678136,112.74808345345537,31.915795475160255,6730,0.5861348197178192,1345.0,390.9389880952381,23.0,7.0256410256410255,0.04190741010814367,3001.906861133822,34467894.57953855,147.87243150022005,5074,0.44190907507402893,867.638474876125,1.3115294466292609,False,False,4,31,35,11,3.459859086542252,39726.102031678136,1.860069645616059,672,672,0,11001.318498200164,16.371456195625765,180102.6915603797,78,0.0801296065235554,0.0039191521021917,0.3212949859833325,0.3009444286825112,False,False,True,False,True,primitive_full_verified,0.0
hexc_00009,10,178298621,178254856,43765,178298621,False,40,0.0009139723523363418,0,43765,11515,1122.179487179487,30.0,True,True,2211,2211,0,42006.451970120084,18.998970348647543,798074.177811984,61,43765,120,19.77556561085973,3.6259487032169244,158689.6449962887,189.87943571772757,62.98603912699399,7007,0.16010510682051868,5737.0,1663.6178199909543,61.0,23.125,0.011747441673468353,15097.997442236723,660763858.0594902,352.32798727480986,29245,0.668228036101908,4163.875078773688,1.855535255532233,False,False,1,24,39,9,3.625948703216925,158689.6449962887,1.9041924018378305,2211,2211,0,42006.451970120135,18.998970348647543,798074.177811984,120,0.1100354775024901,0.0025143310542018,0.4625799992422776,0.437251926315424,False,False,True,False,True,primitive_full_verified,-4.440892098500626e-16
hexc_00010,11,211,210,1,211,False,2,2.0,0,1,1,1.0,1.0,True,True,1,1,0,5.351858133476067,5.351858133476067,28.642385480853928,1,1,1,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0,0.0,inf,inf,False,False,1,0,1,0,0.0,0.0,0.0,1,1,0,5.351858133476067,5.351858133476067,28.642385480853928,1,0.0,0.0,0.1912764152417241,0.1755617761599286,False,False,True,True,False,sign_inconsistent_positive_harmless,0.0
hexc_00011,12,3279709,3278912,797,3279709,False,37,0.04642409033877039,0,797,138,22.13888888888889,5.5,True,True,42,42,0,630.1317191179364,15.003265256912323,9453.951986851174,5,797,90,19.317073170731707,32.84926768012791,26180.86634106194,72.54869737027225,26.600582365633713,98,0.12296110414052698,68.0,19.857142857142858,42.0,5.513513513513513,0.4931068220225919,728.1817657227735,580360.8672810505,74.92058589894705,95,0.1191969887076537,22.16736679835592,1.0326937438527561,False,False,2,31,35,8,32.84926768012791,26180.86634106194,5.731428066383448,42,42,0,630.1317191179365,15.003265256912323,9453.951986851174,90,0.1344383121998459,0.0114062615417102,0.1060058846880691,0.0733688760483797,False,False,True,False,True,primitive_full_verified,0.0
hexc_00012,13,42899,42898,1,42899,False,2,2.0,0,1,1,1.0,1.0,True,True,1,1,0,10.666603794621116,10.666603794621116,113.77643651142559,1,1,1,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0,0.0,inf,inf,False,False,1,0,1,0,0.0,0.0,0.0,1,1,0,10.666603794621116,10.666603794621116,113.7764365114256,1,0.0,0.0,0.0968247715409328,0.0909085751563544,False,False,True,True,False,sign_inconsistent_positive_harmless,0.0
