block_id,p_star,y,h,post_z,post_Q,is_tail,is_longa,shell_pattern,boundary_local_proxy,short_window_proxy,missing_shell_proxy,Qpp_norm,leak_E_z_abs,leak_response_z_abs,leak_negative_extra_Q,finite_zone_Q,slack_proxy_sum,scale_bin,depth_bin,mu_bin,cp_ratio
458,109709861,109709668,3,-0.016815886718691983,0.016815886718691983,False,False,10100,True,True,True,0.0,0.0321880972648142,0.03218809726481419,0.0,0.016815886718691983,0.016815886718691983,100M<=p<500M,0.50-0.55,0.50-1.00,0.063077134089216
520,179378513,179378386,3,-0.016813591102437513,0.016813591102437513,False,False,10100,True,True,True,0.0,0.03054422939196673,0.030544229391966715,0.0,0.016813591102437513,0.016813591102437513,100M<=p<500M,0.50-0.55,0.25-0.50,0.0607122453167207
537,109705961,109705906,3,-0.016684539621930006,0.016684539621930006,False,False,10100,True,True,True,0.0,0.03218822087896959,0.03218822087896958,0.0,0.016684539621930006,0.016684539621930006,100M<=p<500M,0.50-0.55,0.50-1.00,0.062945964652692
288,108533687,108533470,3,-0.01665093106902291,0.01665093106902291,False,False,10100,True,True,True,0.0,0.032225610460249784,0.032225610460249784,0.0,0.01665093106902291,0.01665093106902291,100M<=p<500M,0.50-0.55,0.50-1.00,0.06296609300304
329,109452269,109452148,3,-0.016480517948922104,0.016480517948922104,False,False,10100,True,True,True,0.0,0.03219627287298955,0.03219627287298954,0.0,0.016480517948922104,0.016480517948922104,100M<=p<500M,0.50-0.55,0.50-1.00,0.0627535154340644
356,33821677,33821502,7,-0.016179568040214136,0.016179568040214136,False,True,11111,True,True,False,0.0,0.025735650145384415,0.025735650145384415,0.0,0.016179568040214136,0.016179568040214136,p<100M,0.50-0.55,0.25-0.50,0.0654611569085146
487,109567891,109567750,3,-0.016148248843456822,0.016148248843456822,False,False,10100,True,True,True,0.0,0.03219260043051507,0.03219260043051506,0.0,0.016148248843456822,0.016148248843456822,100M<=p<500M,0.50-0.55,0.25-0.50,0.062415968235633
345,31018529,31018450,3,-0.015924904927554863,0.015924904927554863,False,False,10100,True,True,True,0.0,0.037075099256162036,0.037075099256162036,0.0,0.015924904927554863,0.015924904927554863,p<100M,0.50-0.55,>=1.00,0.0692098295960013
173,30850439,30850276,3,-0.015450500734561442,0.015450500734561442,False,False,10100,True,True,True,0.0,0.03709846750292079,0.0370984675029208,0.0,0.015450500734561442,0.015450500734561442,p<100M,0.50-0.55,0.50-1.00,0.0687690106203953
151,39670973,39670780,3,-0.015049978252669868,0.015049978252669868,False,False,10100,True,True,True,0.0,0.03603971183058613,0.03603971183058614,0.0,0.015049978252669868,0.015049978252669868,p<100M,0.50-0.55,0.50-1.00,0.0668468275799452
197,30786629,30786460,3,-0.015016878524742311,0.015016878524742311,False,False,10100,True,True,True,0.0,0.037107377682071584,0.0371073776820716,0.0,0.015016878524742311,0.015016878524742311,p<100M,0.50-0.55,0.50-1.00,0.06834819426233
198,40839853,40839496,3,-0.014804129795277433,0.014804129795277433,False,False,10100,True,True,True,0.0,0.03592037752933982,0.03592037752933981,0.0,0.014804129795277433,0.014804129795277433,p<100M,0.50-0.55,0.50-1.00,0.0664294699592638
513,33413579,33413518,3,-0.014427369142893779,0.014427369142893779,False,False,10100,True,True,True,0.0,0.03675744007492223,0.03675744007492223,0.0,0.014427369142893779,0.014427369142893779,p<100M,0.50-0.55,0.50-1.00,0.0672557489636599
227,17642453,17642326,3,-0.014381816469629594,0.014381816469629594,False,False,10100,True,True,True,0.0,0.03962509174997424,0.03962509174997424,0.0,0.014381816469629594,0.014381816469629594,p<100M,0.50-0.55,>=1.00,0.0713316310686374
328,33489013,33488866,3,-0.014334441425129895,0.014334441425129895,False,False,10100,True,True,True,0.0,0.036747872875922745,0.036747872875922745,0.0,0.014334441425129895,0.014334441425129895,p<100M,0.50-0.55,0.50-1.00,0.0671490711147243
182,30788077,30787786,3,-0.01431507391337843,0.01431507391337843,False,False,10100,True,True,True,0.0,0.037107175248672956,0.03710717524867297,0.0,0.01431507391337843,0.01431507391337843,p<100M,0.50-0.55,0.50-1.00,0.0676460987104531
225,30422863,30422680,3,-0.013886296934750767,0.013886296934750767,False,False,10100,True,True,True,0.0,0.03715859011625758,0.03715859011625759,0.0,0.013886296934750767,0.013886296934750767,p<100M,0.50-0.55,0.25-0.50,0.0672912160005141
315,33926539,33926350,3,-0.013502587692171383,0.013502587692171383,False,False,10100,True,True,True,0.0,0.03669287604054229,0.03669287604054229,0.0,0.013502587692171383,0.013502587692171383,p<100M,0.50-0.55,0.25-0.50,0.0662381750517639
170,17641879,17641576,3,-0.01248005208955423,0.01248005208955423,False,False,10100,True,True,True,0.0,0.03962524628040515,0.03962524628040515,0.0,0.01248005208955423,0.01248005208955423,p<100M,0.50-0.55,0.25-0.50,0.0694300887821649
200,17591099,17590930,3,-0.012100684392972806,0.012100684392972806,False,False,10100,True,True,True,0.0,0.03963894063244673,0.03963894063244673,0.0,0.012100684392972806,0.012100684392972806,p<100M,0.50-0.55,0.25-0.50,0.0690704028270101
131,12786847,12786580,3,-0.012033880705273987,0.012033880705273987,False,False,10100,True,True,True,0.0,0.04119933627851038,0.041199336278510364,0.0,0.012033880705273987,0.012033880705273987,p<100M,0.50-0.55,0.50-1.00,0.071246224678351
138,7048303,7048210,3,-0.010405842957724738,0.010405842957724738,False,False,11100,True,True,True,0.0,0.044370642007482745,0.044370642007482745,0.0,0.010405842957724738,0.010405842957724738,p<100M,0.50-0.55,0.50-1.00,0.0741760381642046
41,604672261,604520611,151650,-0.03437235322817768,0.03437235322817768,True,True,11111,False,False,False,0.0,0.009502682738794031,0.00950268273879394,0.009502682738794031,0.0,0.009502682738794031,p>=500M,0.55-0.60,0.018-0.05,0.7568596623500748
65,3439001,3438886,3,-0.009275601661059403,0.009275601661059403,False,False,11100,True,True,True,0.0,0.048702629185803585,0.04870262918580357,0.0,0.009275601661059403,0.009275601661059403,p<100M,0.50-0.55,>=1.00,0.0792717980142518
10,178298621,178254856,43765,-0.00917826988505208,0.00917826988505208,False,True,11111,False,False,False,0.0,0.007399973009039729,0.007399973009039729,0.007399973009039728,0.00917826988505208,0.007399973009039728,100M<=p<500M,0.60-0.65,0.05-0.10,0.4625799992422776
208,604822567,604819805,2762,-0.00687754083685666,0.00687754083685666,True,True,11111,False,False,False,0.0,0.007287733164969043,0.007287733164969043,0.00687754083685666,0.0,0.00687754083685666,p>=500M,0.50-0.55,0.25-0.50,0.1030306737173388
64,604810421,604757400,53021,-0.022823540091301494,0.022823540091301494,True,True,11111,False,False,False,0.0,0.006571610192064748,0.006571610192064751,0.006571610192064748,0.0,0.006571610192064748,p>=500M,0.50-0.55,0.018-0.05,0.4494568065190746
155,109764139,109762638,1501,-0.008906459965943457,0.008906459965943457,False,True,11111,False,False,False,0.0,0.005179480851121631,0.005179480851121631,0.00517948085112163,0.008906459965943457,0.00517948085112163,100M<=p<500M,0.50-0.55,0.25-0.50,0.0926824198591366
105,604432601,604410439,22162,-0.0185650504340669,0.0185650504340669,True,True,11111,False,False,False,0.0,0.00456689150188204,0.00456689150188204,0.004566891501882041,0.0,0.004566891501882041,p>=500M,0.50-0.55,0.05-0.10,0.2914811871626422
95,178011341,178005997,5344,-0.0040991343329095575,0.0040991343329095575,False,True,11111,False,False,False,0.0,0.005066226949972246,0.005066226949972246,0.0040991343329095575,0.0040991343329095575,0.0040991343329095575,100M<=p<500M,0.50-0.55,0.10-0.25,0.1648839859416764
28,109670797,109660803,9994,-0.0040775732389164805,0.0040775732389164805,False,True,11111,False,False,False,0.0,0.004140102337014184,0.004140102337014184,0.0040775732389164805,0.0040775732389164805,0.0040775732389164805,100M<=p<500M,0.55-0.60,0.10-0.25,0.2345732370876761
57,179620853,179616870,3983,-0.01734757717544536,0.01734757717544536,False,True,11111,False,False,False,0.0,0.004017641309067951,0.004017641309067951,0.004017641309067949,0.01734757717544536,0.004017641309067949,100M<=p<500M,0.55-0.60,0.25-0.50,0.1434186712486546
215,604883911,604879711,4200,-0.02015507619056956,0.02015507619056956,True,True,11111,False,False,False,0.0,0.0028832508732848346,0.0028832508732848346,0.0028832508732848337,0.0,0.0028832508732848337,p>=500M,0.50-0.55,0.10-0.25,0.1286153186276067
36,39707851,39704004,3847,-0.002835977728019102,0.002835977728019102,False,True,11111,False,False,False,0.0,0.0028680198787687573,0.0028680198787687573,0.002835977728019102,0.002835977728019102,0.002835977728019102,p<100M,0.55-0.60,0.10-0.25,0.1623741874086595
293,179406523,179405418,1105,-0.003584728317209828,0.003584728317209828,False,True,11111,False,False,False,0.0,0.0027753903930000873,0.002775390393000096,0.0027753903930000873,0.003584728317209828,0.0027753903930000873,100M<=p<500M,0.50-0.55,0.25-0.50,0.0771394318911972
149,1511863,1511818,3,-0.0027297205023213435,0.0027297205023213435,False,False,11100,True,True,True,0.0,0.05449109317151783,0.054491093171517825,0.0,0.0027297205023213435,0.0027297205023213435,p<100M,0.50-0.55,0.25-0.50,0.0810451897299419
128,187449539,187440181,9358,-0.006921458833631616,0.006921458833631616,False,True,11111,False,False,False,0.0002713345538969,0.002444710513773284,0.002444710513773284,0.0024447105137732844,0.006921458833631616,0.0027160450676701844,100M<=p<500M,0.50-0.55,0.05-0.10,0.2125486545087074
228,604708931,604704593,4338,-0.011122095179489058,0.011122095179489058,True,True,11111,False,False,False,0.0,0.0022980670331455024,0.0022980670331455033,0.002298067033145503,0.0,0.002298067033145503,p>=500M,0.50-0.55,0.10-0.25,0.1280136512189761
58,1188511,1188358,3,-0.002296256544829283,0.002296256544829283,False,False,11100,True,True,True,0.0,0.056382057379648666,0.05638205737964868,0.0,0.002296256544829283,0.002296256544829283,p<100M,0.55-0.60,0.50-1.00,0.0833294497303515
